author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/279412364/;Санкт-Петербург;sale;flat;5;5;2;43.0;6800000;Кировский;Новостроек;Кировский завод;
;https://spb.cian.ru/sale/flat/292811104/;Санкт-Петербург;sale;flat;3;14;-1;20.67;4350000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
BR Group;https://spb.cian.ru/sale/flat/290718717/;Санкт-Петербург;sale;flat;8;11;4;226.3;44000000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811034/;Санкт-Петербург;sale;flat;2;12;-1;22.89;4440000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
HOME INVEST;https://spb.cian.ru/sale/flat/284202953/;Санкт-Петербург;sale;flat;1;5;3;66.0;12500000;Кировский;Зенитчиков;Автово;
;https://spb.cian.ru/sale/flat/292811098/;Санкт-Петербург;sale;flat;14;14;-1;19.92;4500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/282361531/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
;https://spb.cian.ru/sale/flat/292811039/;Санкт-Петербург;sale;flat;2;12;-1;25.22;4500000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/280562342/;Санкт-Петербург;sale;flat;6;14;-1;20.75;5900000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810992/;Санкт-Петербург;sale;flat;12;12;-1;24.15;4877817;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Светлана Музурова;https://spb.cian.ru/sale/flat/292257102/;Санкт-Петербург;sale;flat;7;14;-1;19.4;5000000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810972/;Санкт-Петербург;sale;flat;10;12;-1;25.67;4993225;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/292029238/;Санкт-Петербург;sale;flat;10;12;-1;22.4;5290000;Кировский;Автово;Автово;
;https://spb.cian.ru/sale/flat/292811044/;Санкт-Петербург;sale;flat;5;12;-1;27.66;5045073;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Сопровождение;https://spb.cian.ru/sale/flat/287407753/;Санкт-Петербург;sale;flat;5;12;3;106.0;23900000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811056/;Санкт-Петербург;sale;flat;8;12;-1;35.62;6035364;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Владис Аврора;https://spb.cian.ru/sale/flat/293038595/;Санкт-Петербург;sale;flat;7;7;3;95.0;15200000;Кировский;Автово;Кировский завод;
;https://spb.cian.ru/sale/flat/292811113/;Санкт-Петербург;sale;flat;8;14;-1;36.54;7550000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
CENTURY 21 Capital Petersburg;https://spb.cian.ru/sale/flat/290626014/;Санкт-Петербург;sale;flat;6;7;4;114.6;15300000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290220479/;Санкт-Петербург;sale;flat;5;5;1;31.9;6200000;Кировский;Васи Алексеева;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/282385999/;Санкт-Петербург;sale;flat;4;6;3;86.8;14000000;Кировский;Зайцева;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/277040286/;Санкт-Петербург;sale;flat;6;7;3;75.1;12200000;Кировский;Автово;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/289533845/;Санкт-Петербург;sale;flat;4;6;2;63.3;12100000;Кировский;Зайцева;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/289486136/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/270992717/;Санкт-Петербург;sale;flat;4;5;4;86.0;12900000;Кировский;Маринеско;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/287730970/;Санкт-Петербург;sale;flat;1;16;2;56.0;7690000;Кировский;Маршала Говорова;Кировский завод;
Владис Центральный;https://spb.cian.ru/sale/flat/292673749/;Санкт-Петербург;sale;flat;4;6;3;92.0;15200000;Кировский;Автово;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/289527391/;Санкт-Петербург;sale;flat;4;10;4;118.0;17600000;Кировский;Автово;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/279412364/;Санкт-Петербург;sale;flat;5;5;2;43.0;6800000;Кировский;Новостроек;Кировский завод;
;https://spb.cian.ru/sale/flat/292811104/;Санкт-Петербург;sale;flat;3;14;-1;20.67;4350000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
BR Group;https://spb.cian.ru/sale/flat/290718717/;Санкт-Петербург;sale;flat;8;11;4;226.3;44000000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811034/;Санкт-Петербург;sale;flat;2;12;-1;22.89;4440000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
HOME INVEST;https://spb.cian.ru/sale/flat/284202953/;Санкт-Петербург;sale;flat;1;5;3;66.0;12500000;Кировский;Зенитчиков;Автово;
;https://spb.cian.ru/sale/flat/292811098/;Санкт-Петербург;sale;flat;14;14;-1;19.92;4500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/282361531/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
;https://spb.cian.ru/sale/flat/292811039/;Санкт-Петербург;sale;flat;2;12;-1;25.22;4500000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/280562342/;Санкт-Петербург;sale;flat;6;14;-1;20.75;5900000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810992/;Санкт-Петербург;sale;flat;12;12;-1;24.15;4877817;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Светлана Музурова;https://spb.cian.ru/sale/flat/292257102/;Санкт-Петербург;sale;flat;7;14;-1;19.4;5000000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810972/;Санкт-Петербург;sale;flat;10;12;-1;25.67;4993225;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/292029238/;Санкт-Петербург;sale;flat;10;12;-1;22.4;5290000;Кировский;Автово;Автово;
;https://spb.cian.ru/sale/flat/292811044/;Санкт-Петербург;sale;flat;5;12;-1;27.66;5045073;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Сопровождение;https://spb.cian.ru/sale/flat/287407753/;Санкт-Петербург;sale;flat;5;12;3;106.0;23900000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811056/;Санкт-Петербург;sale;flat;8;12;-1;35.62;6035364;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Владис Аврора;https://spb.cian.ru/sale/flat/293038595/;Санкт-Петербург;sale;flat;7;7;3;95.0;15200000;Кировский;Автово;Кировский завод;
;https://spb.cian.ru/sale/flat/292811113/;Санкт-Петербург;sale;flat;8;14;-1;36.54;7550000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
CENTURY 21 Capital Petersburg;https://spb.cian.ru/sale/flat/290626014/;Санкт-Петербург;sale;flat;6;7;4;114.6;15300000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290220479/;Санкт-Петербург;sale;flat;5;5;1;31.9;6200000;Кировский;Васи Алексеева;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/282385999/;Санкт-Петербург;sale;flat;4;6;3;86.8;14000000;Кировский;Зайцева;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/277040286/;Санкт-Петербург;sale;flat;6;7;3;75.1;12200000;Кировский;Автово;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/289533845/;Санкт-Петербург;sale;flat;4;6;2;63.3;12100000;Кировский;Зайцева;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/289486136/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/270992717/;Санкт-Петербург;sale;flat;4;5;4;86.0;12900000;Кировский;Маринеско;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/287730970/;Санкт-Петербург;sale;flat;1;16;2;56.0;7690000;Кировский;Маршала Говорова;Кировский завод;
Владис Центральный;https://spb.cian.ru/sale/flat/292673749/;Санкт-Петербург;sale;flat;4;6;3;92.0;15200000;Кировский;Автово;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/289527391/;Санкт-Петербург;sale;flat;4;10;4;118.0;17600000;Кировский;Автово;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/279412364/;Санкт-Петербург;sale;flat;5;5;2;43.0;6800000;Кировский;Новостроек;Кировский завод;
;https://spb.cian.ru/sale/flat/292811104/;Санкт-Петербург;sale;flat;3;14;-1;20.67;4350000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
BR Group;https://spb.cian.ru/sale/flat/290718717/;Санкт-Петербург;sale;flat;8;11;4;226.3;44000000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811034/;Санкт-Петербург;sale;flat;2;12;-1;22.89;4440000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
HOME INVEST;https://spb.cian.ru/sale/flat/284202953/;Санкт-Петербург;sale;flat;1;5;3;66.0;12500000;Кировский;Зенитчиков;Автово;
;https://spb.cian.ru/sale/flat/292811098/;Санкт-Петербург;sale;flat;14;14;-1;19.92;4500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/282361531/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
;https://spb.cian.ru/sale/flat/292811039/;Санкт-Петербург;sale;flat;2;12;-1;25.22;4500000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/280562342/;Санкт-Петербург;sale;flat;6;14;-1;20.75;5900000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810992/;Санкт-Петербург;sale;flat;12;12;-1;24.15;4877817;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Светлана Музурова;https://spb.cian.ru/sale/flat/292257102/;Санкт-Петербург;sale;flat;7;14;-1;19.4;5000000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810972/;Санкт-Петербург;sale;flat;10;12;-1;25.67;4993225;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/292029238/;Санкт-Петербург;sale;flat;10;12;-1;22.4;5290000;Кировский;Автово;Автово;
;https://spb.cian.ru/sale/flat/292811044/;Санкт-Петербург;sale;flat;5;12;-1;27.66;5045073;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Сопровождение;https://spb.cian.ru/sale/flat/287407753/;Санкт-Петербург;sale;flat;5;12;3;106.0;23900000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811056/;Санкт-Петербург;sale;flat;8;12;-1;35.62;6035364;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Владис Аврора;https://spb.cian.ru/sale/flat/293038595/;Санкт-Петербург;sale;flat;7;7;3;95.0;15200000;Кировский;Автово;Кировский завод;
;https://spb.cian.ru/sale/flat/292811113/;Санкт-Петербург;sale;flat;8;14;-1;36.54;7550000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
CENTURY 21 Capital Petersburg;https://spb.cian.ru/sale/flat/290626014/;Санкт-Петербург;sale;flat;6;7;4;114.6;15300000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290220479/;Санкт-Петербург;sale;flat;5;5;1;31.9;6200000;Кировский;Васи Алексеева;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/282385999/;Санкт-Петербург;sale;flat;4;6;3;86.8;14000000;Кировский;Зайцева;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/277040286/;Санкт-Петербург;sale;flat;6;7;3;75.1;12200000;Кировский;Автово;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/289533845/;Санкт-Петербург;sale;flat;4;6;2;63.3;12100000;Кировский;Зайцева;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/289486136/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/270992717/;Санкт-Петербург;sale;flat;4;5;4;86.0;12900000;Кировский;Маринеско;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/287730970/;Санкт-Петербург;sale;flat;1;16;2;56.0;7690000;Кировский;Маршала Говорова;Кировский завод;
Владис Центральный;https://spb.cian.ru/sale/flat/292673749/;Санкт-Петербург;sale;flat;4;6;3;92.0;15200000;Кировский;Автово;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/289527391/;Санкт-Петербург;sale;flat;4;10;4;118.0;17600000;Кировский;Автово;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/279412364/;Санкт-Петербург;sale;flat;5;5;2;43.0;6800000;Кировский;Новостроек;Кировский завод;
;https://spb.cian.ru/sale/flat/292811104/;Санкт-Петербург;sale;flat;3;14;-1;20.67;4350000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
BR Group;https://spb.cian.ru/sale/flat/290718717/;Санкт-Петербург;sale;flat;8;11;4;226.3;44000000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811034/;Санкт-Петербург;sale;flat;2;12;-1;22.89;4440000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
HOME INVEST;https://spb.cian.ru/sale/flat/284202953/;Санкт-Петербург;sale;flat;1;5;3;66.0;12500000;Кировский;Зенитчиков;Автово;
;https://spb.cian.ru/sale/flat/292811098/;Санкт-Петербург;sale;flat;14;14;-1;19.92;4500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/282361531/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
;https://spb.cian.ru/sale/flat/292811039/;Санкт-Петербург;sale;flat;2;12;-1;25.22;4500000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/280562342/;Санкт-Петербург;sale;flat;6;14;-1;20.75;5900000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810992/;Санкт-Петербург;sale;flat;12;12;-1;24.15;4877817;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Светлана Музурова;https://spb.cian.ru/sale/flat/292257102/;Санкт-Петербург;sale;flat;7;14;-1;19.4;5000000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810972/;Санкт-Петербург;sale;flat;10;12;-1;25.67;4993225;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/292029238/;Санкт-Петербург;sale;flat;10;12;-1;22.4;5290000;Кировский;Автово;Автово;
;https://spb.cian.ru/sale/flat/292811044/;Санкт-Петербург;sale;flat;5;12;-1;27.66;5045073;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Сопровождение;https://spb.cian.ru/sale/flat/287407753/;Санкт-Петербург;sale;flat;5;12;3;106.0;23900000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811056/;Санкт-Петербург;sale;flat;8;12;-1;35.62;6035364;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Владис Аврора;https://spb.cian.ru/sale/flat/293038595/;Санкт-Петербург;sale;flat;7;7;3;95.0;15200000;Кировский;Автово;Кировский завод;
;https://spb.cian.ru/sale/flat/292811113/;Санкт-Петербург;sale;flat;8;14;-1;36.54;7550000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
CENTURY 21 Capital Petersburg;https://spb.cian.ru/sale/flat/290626014/;Санкт-Петербург;sale;flat;6;7;4;114.6;15300000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290220479/;Санкт-Петербург;sale;flat;5;5;1;31.9;6200000;Кировский;Васи Алексеева;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/282385999/;Санкт-Петербург;sale;flat;4;6;3;86.8;14000000;Кировский;Зайцева;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/277040286/;Санкт-Петербург;sale;flat;6;7;3;75.1;12200000;Кировский;Автово;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/289533845/;Санкт-Петербург;sale;flat;4;6;2;63.3;12100000;Кировский;Зайцева;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/289486136/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/270992717/;Санкт-Петербург;sale;flat;4;5;4;86.0;12900000;Кировский;Маринеско;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/287730970/;Санкт-Петербург;sale;flat;1;16;2;56.0;7690000;Кировский;Маршала Говорова;Кировский завод;
Владис Центральный;https://spb.cian.ru/sale/flat/292673749/;Санкт-Петербург;sale;flat;4;6;3;92.0;15200000;Кировский;Автово;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/289527391/;Санкт-Петербург;sale;flat;4;10;4;118.0;17600000;Кировский;Автово;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/279412364/;Санкт-Петербург;sale;flat;5;5;2;43.0;6800000;Кировский;Новостроек;Кировский завод;
;https://spb.cian.ru/sale/flat/292811104/;Санкт-Петербург;sale;flat;3;14;-1;20.67;4350000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
BR Group;https://spb.cian.ru/sale/flat/290718717/;Санкт-Петербург;sale;flat;8;11;4;226.3;44000000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811034/;Санкт-Петербург;sale;flat;2;12;-1;22.89;4440000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
HOME INVEST;https://spb.cian.ru/sale/flat/284202953/;Санкт-Петербург;sale;flat;1;5;3;66.0;12500000;Кировский;Зенитчиков;Автово;
;https://spb.cian.ru/sale/flat/292811098/;Санкт-Петербург;sale;flat;14;14;-1;19.92;4500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/282361531/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
;https://spb.cian.ru/sale/flat/292811039/;Санкт-Петербург;sale;flat;2;12;-1;25.22;4500000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/280562342/;Санкт-Петербург;sale;flat;6;14;-1;20.75;5900000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810992/;Санкт-Петербург;sale;flat;12;12;-1;24.15;4877817;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Светлана Музурова;https://spb.cian.ru/sale/flat/292257102/;Санкт-Петербург;sale;flat;7;14;-1;19.4;5000000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810972/;Санкт-Петербург;sale;flat;10;12;-1;25.67;4993225;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/292029238/;Санкт-Петербург;sale;flat;10;12;-1;22.4;5290000;Кировский;Автово;Автово;
;https://spb.cian.ru/sale/flat/292811044/;Санкт-Петербург;sale;flat;5;12;-1;27.66;5045073;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Сопровождение;https://spb.cian.ru/sale/flat/287407753/;Санкт-Петербург;sale;flat;5;12;3;106.0;23900000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811056/;Санкт-Петербург;sale;flat;8;12;-1;35.62;6035364;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Владис Аврора;https://spb.cian.ru/sale/flat/293038595/;Санкт-Петербург;sale;flat;7;7;3;95.0;15200000;Кировский;Автово;Кировский завод;
;https://spb.cian.ru/sale/flat/292811113/;Санкт-Петербург;sale;flat;8;14;-1;36.54;7550000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
CENTURY 21 Capital Petersburg;https://spb.cian.ru/sale/flat/290626014/;Санкт-Петербург;sale;flat;6;7;4;114.6;15300000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290220479/;Санкт-Петербург;sale;flat;5;5;1;31.9;6200000;Кировский;Васи Алексеева;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/282385999/;Санкт-Петербург;sale;flat;4;6;3;86.8;14000000;Кировский;Зайцева;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/277040286/;Санкт-Петербург;sale;flat;6;7;3;75.1;12200000;Кировский;Автово;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/289533845/;Санкт-Петербург;sale;flat;4;6;2;63.3;12100000;Кировский;Зайцева;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/289486136/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/270992717/;Санкт-Петербург;sale;flat;4;5;4;86.0;12900000;Кировский;Маринеско;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/287730970/;Санкт-Петербург;sale;flat;1;16;2;56.0;7690000;Кировский;Маршала Говорова;Кировский завод;
Владис Центральный;https://spb.cian.ru/sale/flat/292673749/;Санкт-Петербург;sale;flat;4;6;3;92.0;15200000;Кировский;Автово;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/289527391/;Санкт-Петербург;sale;flat;4;10;4;118.0;17600000;Кировский;Автово;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/279412364/;Санкт-Петербург;sale;flat;5;5;2;43.0;6800000;Кировский;Новостроек;Кировский завод;
;https://spb.cian.ru/sale/flat/292811104/;Санкт-Петербург;sale;flat;3;14;-1;20.67;4350000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
BR Group;https://spb.cian.ru/sale/flat/290718717/;Санкт-Петербург;sale;flat;8;11;4;226.3;44000000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811034/;Санкт-Петербург;sale;flat;2;12;-1;22.89;4440000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
HOME INVEST;https://spb.cian.ru/sale/flat/284202953/;Санкт-Петербург;sale;flat;1;5;3;66.0;12500000;Кировский;Зенитчиков;Автово;
;https://spb.cian.ru/sale/flat/292811098/;Санкт-Петербург;sale;flat;14;14;-1;19.92;4500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/282361531/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
;https://spb.cian.ru/sale/flat/292811039/;Санкт-Петербург;sale;flat;2;12;-1;25.22;4500000;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
ТРЕНД;https://spb.cian.ru/sale/flat/280562342/;Санкт-Петербург;sale;flat;6;14;-1;20.75;5900000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810992/;Санкт-Петербург;sale;flat;12;12;-1;24.15;4877817;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Светлана Музурова;https://spb.cian.ru/sale/flat/292257102/;Санкт-Петербург;sale;flat;7;14;-1;19.4;5000000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
;https://spb.cian.ru/sale/flat/292810972/;Санкт-Петербург;sale;flat;10;12;-1;25.67;4993225;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/292029238/;Санкт-Петербург;sale;flat;10;12;-1;22.4;5290000;Кировский;Автово;Автово;
;https://spb.cian.ru/sale/flat/292811044/;Санкт-Петербург;sale;flat;5;12;-1;27.66;5045073;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Сопровождение;https://spb.cian.ru/sale/flat/287407753/;Санкт-Петербург;sale;flat;5;12;3;106.0;23900000;Кировский;Автово;Автово;Эстет
;https://spb.cian.ru/sale/flat/292811056/;Санкт-Петербург;sale;flat;8;12;-1;35.62;6035364;Кировский;Автово;Автово;Апарт-отель Kirovsky AVENIR
Владис Аврора;https://spb.cian.ru/sale/flat/293038595/;Санкт-Петербург;sale;flat;7;7;3;95.0;15200000;Кировский;Автово;Кировский завод;
;https://spb.cian.ru/sale/flat/292811113/;Санкт-Петербург;sale;flat;8;14;-1;36.54;7550000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
CENTURY 21 Capital Petersburg;https://spb.cian.ru/sale/flat/290626014/;Санкт-Петербург;sale;flat;6;7;4;114.6;15300000;Кировский;Автово;Автово;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/290220479/;Санкт-Петербург;sale;flat;5;5;1;31.9;6200000;Кировский;Васи Алексеева;Кировский завод;
Этажи Санкт-Петербург;https://spb.cian.ru/sale/flat/282385999/;Санкт-Петербург;sale;flat;4;6;3;86.8;14000000;Кировский;Зайцева;Автово;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/277040286/;Санкт-Петербург;sale;flat;6;7;3;75.1;12200000;Кировский;Автово;Кировский завод;
ПетербургНедвижимость;https://spb.cian.ru/sale/flat/289533845/;Санкт-Петербург;sale;flat;4;6;2;63.3;12100000;Кировский;Зайцева;Автово;
Владис Центральный;https://spb.cian.ru/sale/flat/289486136/;Санкт-Петербург;sale;flat;1;5;2;42.0;6700000;Кировский;Маршала Говорова;Кировский завод;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/270992717/;Санкт-Петербург;sale;flat;4;5;4;86.0;12900000;Кировский;Маринеско;Автово;
